time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
,,250000,,,,0.7946991,0.2,-1.3382826771587133,0.00025,-0.009772537031676621,103.09719012379647,0.00880242,23.725187301635742,0.09931640625,1220,686.841796875,1777.6
254,988,251904,123,1524.57,953.06103515625,,,,,,,,,,,,
256,990,253952,124,1524.57,953.06103515625,0.81256735,0.2,-1.343556686118245,0.00025,-0.0017523198555863928,527.2893137931824,0.0017361663,137.28369140625,0.001806640625,1230,,
257,992,256000,125,1503.62,970.7162475585938,0.65457904,0.2,-1.3569460466504097,0.00025,-0.0007448185155226383,396.3130453824997,0.00096625823,61.71015930175781,0.0,1240,,
259,994,258048,126,1478.71,949.0237426757812,0.6944398,0.2,-1.3488414827734232,0.00025,-0.001680838904576376,683.3938447475433,0.0015111056,199.04217529296875,0.0,1250,,
261,995,260096,127,1478.71,949.0237426757812,0.510249,0.2,-1.3558965589851142,0.00025,-0.005286106449057115,640.386536693573,0.005593771,196.41810607910156,0.012060546875,1260,,
262,997,262144,128,1504.61,956.0286865234375,0.7525207,0.2,-1.3746788956224918,0.00025,-0.0011352230809279717,200.72877836227417,0.0023441426,61.42567443847656,0.0,1270,,
264,999,264192,129,1532.26,952.7853393554688,-0.47064126,0.2,-1.366639342531562,0.00025,-0.0021364639746025206,79.78960753083228,0.0032387585,26.818458557128906,0.0017578125,1280,,
266,1000,266240,130,1532.26,952.7853393554688,0.6019665,0.2,-1.3574952214956284,0.00025,-0.0117159668559907,59.222927811741826,0.011943692,12.353086471557617,0.151318359375,1290,,
267,1002,268288,131,1552.82,941.2592163085938,-0.8437121,0.2,-1.367705065384507,0.00025,-0.0041987271484686065,116.14206380248069,0.00807426,18.470062255859375,0.003173828125,1300,,
269,1003,270336,132,1552.82,949.3378295898438,0.6542057,0.2,-1.3576741553843021,0.00025,-0.002561125335341785,245.58083057403564,0.0047103018,35.868961334228516,0.00029296875,1310,,
270,1005,272384,133,1552.82,949.3378295898438,0.65416205,0.2,-1.3688792176544666,0.00025,-0.004208638116688234,71.75211715102196,0.007423764,11.788553237915039,0.00556640625,1320,,
272,1007,274432,134,1570.2,931.2814331054688,-3.312385,0.2,-1.3738168966025115,0.00025,-0.005606280884239823,19.007636508345605,0.007930211,2.4448375701904297,0.034033203125,1330,,
,,275000,,,,0.68459845,0.2,-1.3615947041660548,0.00025,-0.0019938876139349304,168.31098666191102,0.0023651195,67.09001922607422,0.00029296875,1340,239.4835968017578,1404.5
277,997,276480,135,1566.62,953.641357421875,,,,,,,,,,,,
278,999,278528,136,1566.62,953.641357421875,0.6483042,0.2,-1.3588140480220319,0.00025,-0.0030820435495115817,215.20728141069412,0.005662815,70.17035675048828,0.00380859375,1350,,
